,home_team,home_score,away_team,away_score,day_of_week,month,day_of_month,year,time,attendance,stadium,a_href
0,Tottenham Hotspur,2,Fulham FC,0,Sunday,May,13,2012,15:00,36256,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,West Bromwich Albion,2,Arsenal FC,3,Sunday,May,13,2012,15:00,26358,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,Wigan Athletic,3,Wolverhampton Wanderers,2,Sunday,May,13,2012,15:00,21986,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Arsenal FC,0,Sunderland AFC,0,Saturday,August,18,2012,15:00,60078,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,Fulham FC,5,Norwich City,0,Saturday,August,18,2012,15:00,25062,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Queens Park Rangers,0,Swansea City,5,Saturday,August,18,2012,15:00,18072,Loftus Road (London / England),https://www.worldfootball.net/venues/loftus-road-london/
0,Reading FC,1,Stoke City,1,Saturday,August,18,2012,15:00,23973,Select Car Leasing Stadium (Reading / England),https://www.worldfootball.net/venues/select-car-leasing-stadium-reading/
0,West Bromwich Albion,3,Liverpool FC,0,Saturday,August,18,2012,15:00,26039,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,West Ham United,1,Aston Villa,0,Saturday,August,18,2012,15:00,34172,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Newcastle United,2,Tottenham Hotspur,1,Saturday,August,18,2012,17:30,52385,Sports Direct Arena (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Wigan Athletic,0,Chelsea FC,2,Sunday,August,19,2012,13:30,19738,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Manchester City,3,Southampton FC,2,Sunday,August,19,2012,16:00,46190,Etihad Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,Everton FC,1,Manchester United,0,Monday,August,20,2012,20:00,38415,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,Swansea City,3,West Ham United,0,Saturday,August,25,2012,12:45,20424,Liberty Stadium (Swansea / Wales),https://www.worldfootball.net/venues/swansea-com-stadium-swansea/
0,Aston Villa,1,Everton FC,3,Saturday,August,25,2012,15:00,36565,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Manchester United,3,Fulham FC,2,Saturday,August,25,2012,15:00,75352,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Norwich City,1,Queens Park Rangers,1,Saturday,August,25,2012,15:00,26317,Carrow Road (Norwich / England),https://www.worldfootball.net/venues/carrow-road-norwich/
0,Southampton FC,0,Wigan Athletic,2,Saturday,August,25,2012,15:00,29604,Saint Mary's (Southampton / England),https://www.worldfootball.net/venues/saint-marys-southampton/
0,Tottenham Hotspur,1,West Bromwich Albion,1,Saturday,August,25,2012,15:00,36166,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,Chelsea FC,2,Newcastle United,0,Saturday,August,25,2012,17:30,41718,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,Stoke City,0,Arsenal FC,0,Sunday,August,26,2012,13:30,27072,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
